year,race_number,track,driver_id,driver_name,team,grid_position,finish_position,points_earned,temperature,humidity,track_temperature,fastest_lap,pit_stops
2022,1,Marina Bay Street Circuit,4,Driver 4,Alpine,8,1,25,26.3444138803412,35.52475582477321,34.81550714524057,83.4710342656169,4
2022,1,Marina Bay Street Circuit,12,Driver 12,Ferrari,9,2,18,26.3444138803412,35.52475582477321,34.81550714524057,96.35822845090448,2
2022,1,Marina Bay Street Circuit,15,Driver 15,Alpine,7,3,15,26.3444138803412,35.52475582477321,34.81550714524057,82.89996335427422,4
2022,1,Marina Bay Street Circuit,17,Driver 17,Red Bull Racing,7,4,12,26.3444138803412,35.52475582477321,34.81550714524057,67.34649200132105,2
2022,1,Marina Bay Street Circuit,8,Driver 8,Alpine,9,5,10,26.3444138803412,35.52475582477321,34.81550714524057,83.15484536062286,3
2022,1,Marina Bay Street Circuit,18,Driver 18,Williams,16,6,8,26.3444138803412,35.52475582477321,34.81550714524057,91.38411570741559,3
2022,1,Marina Bay Street Circuit,14,Driver 14,Alpha Tauri,6,7,6,26.3444138803412,35.52475582477321,34.81550714524057,74.41366194357495,1
2022,1,Marina Bay Street Circuit,5,Driver 5,McLaren,20,8,4,26.3444138803412,35.52475582477321,34.81550714524057,65.754368388246,1
2022,1,Marina Bay Street Circuit,6,Driver 6,Mercedes,3,9,2,26.3444138803412,35.52475582477321,34.81550714524057,97.96655749616454,4
2022,1,Marina Bay Street Circuit,10,Driver 10,Williams,16,10,1,26.3444138803412,35.52475582477321,34.81550714524057,88.23266629570388,4
2022,1,Marina Bay Street Circuit,13,Driver 13,Haas,17,11,0,26.3444138803412,35.52475582477321,34.81550714524057,72.35999184292089,2
2022,1,Marina Bay Street Circuit,11,Driver 11,Mercedes,5,12,0,26.3444138803412,35.52475582477321,34.81550714524057,77.78854973771558,4
2022,1,Marina Bay Street Circuit,16,Driver 16,Red Bull Racing,14,13,0,26.3444138803412,35.52475582477321,34.81550714524057,92.29996308149805,4
2022,1,Marina Bay Street Circuit,2,Driver 2,Alpha Tauri,14,14,0,26.3444138803412,35.52475582477321,34.81550714524057,94.13494808362684,4
2022,1,Marina Bay Street Circuit,20,Driver 20,Williams,8,15,0,26.3444138803412,35.52475582477321,34.81550714524057,62.33494852702695,1
2022,1,Marina Bay Street Circuit,1,Driver 1,Mercedes,7,16,0,26.3444138803412,35.52475582477321,34.81550714524057,79.07788073013849,4
2022,1,Marina Bay Street Circuit,9,Driver 9,McLaren,16,17,0,26.3444138803412,35.52475582477321,34.81550714524057,88.6257786794041,1
2022,1,Marina Bay Street Circuit,3,Driver 3,Williams,19,18,0,26.3444138803412,35.52475582477321,34.81550714524057,88.93953379506347,4
2022,1,Marina Bay Street Circuit,7,Driver 7,Haas,8,19,0,26.3444138803412,35.52475582477321,34.81550714524057,74.38559055153331,2
2022,1,Marina Bay Street Circuit,19,Driver 19,Red Bull Racing,2,20,0,26.3444138803412,35.52475582477321,34.81550714524057,77.9583356125517,2
2022,2,Autodromo Nazionale Monza,10,Driver 10,Williams,2,1,25,15.102930838430797,77.19089267334454,21.79571474917805,87.92786762476652,2
2022,2,Autodromo Nazionale Monza,20,Driver 20,Williams,11,2,18,15.102930838430797,77.19089267334454,21.79571474917805,71.76330099220365,3
2022,2,Autodromo Nazionale Monza,3,Driver 3,Williams,19,3,15,15.102930838430797,77.19089267334454,21.79571474917805,98.17720978635398,1
2022,2,Autodromo Nazionale Monza,13,Driver 13,Haas,15,4,12,15.102930838430797,77.19089267334454,21.79571474917805,66.30864366106458,2
2022,2,Autodromo Nazionale Monza,5,Driver 5,McLaren,17,5,10,15.102930838430797,77.19089267334454,21.79571474917805,82.91495949673431,1
2022,2,Autodromo Nazionale Monza,14,Driver 14,Alpha Tauri,9,6,8,15.102930838430797,77.19089267334454,21.79571474917805,81.32198067542272,2
2022,2,Autodromo Nazionale Monza,12,Driver 12,Ferrari,4,7,6,15.102930838430797,77.19089267334454,21.79571474917805,68.72491501437213,1
2022,2,Autodromo Nazionale Monza,8,Driver 8,Alpine,2,8,4,15.102930838430797,77.19089267334454,21.79571474917805,85.83143379277125,1
2022,2,Autodromo Nazionale Monza,2,Driver 2,Alpha Tauri,3,9,2,15.102930838430797,77.19089267334454,21.79571474917805,91.20783787272643,3
2022,2,Autodromo Nazionale Monza,1,Driver 1,Mercedes,14,10,1,15.102930838430797,77.19089267334454,21.79571474917805,92.68766027529229,3
2022,2,Autodromo Nazionale Monza,4,Driver 4,Alpine,6,11,0,15.102930838430797,77.19089267334454,21.79571474917805,68.93591514194598,1
2022,2,Autodromo Nazionale Monza,6,Driver 6,Mercedes,20,12,0,15.102930838430797,77.19089267334454,21.79571474917805,75.04196464137014,3
2022,2,Autodromo Nazionale Monza,9,Driver 9,McLaren,15,13,0,15.102930838430797,77.19089267334454,21.79571474917805,98.39161937301445,2
2022,2,Autodromo Nazionale Monza,18,Driver 18,Williams,15,14,0,15.102930838430797,77.19089267334454,21.79571474917805,73.42117900006716,4
2022,2,Autodromo Nazionale Monza,7,Driver 7,Haas,5,15,0,15.102930838430797,77.19089267334454,21.79571474917805,68.27726538578531,3
2022,2,Autodromo Nazionale Monza,15,Driver 15,Alpine,2,16,0,15.102930838430797,77.19089267334454,21.79571474917805,74.91685360655795,1
2022,2,Autodromo Nazionale Monza,17,Driver 17,Red Bull Racing,20,17,0,15.102930838430797,77.19089267334454,21.79571474917805,67.02843128991388,4
2022,2,Autodromo Nazionale Monza,19,Driver 19,Red Bull Racing,20,18,0,15.102930838430797,77.19089267334454,21.79571474917805,74.83847758598877,4
2022,2,Autodromo Nazionale Monza,11,Driver 11,Mercedes,8,19,0,15.102930838430797,77.19089267334454,21.79571474917805,62.965292627645645,4
2022,2,Autodromo Nazionale Monza,16,Driver 16,Red Bull Racing,13,20,0,15.102930838430797,77.19089267334454,21.79571474917805,62.11967637364792,2
2022,3,Autódromo José Carlos Pace,16,Driver 16,Red Bull Racing,9,1,25,23.95176263653529,55.153515465511205,31.823289544986935,65.79296017886315,2
2022,3,Autódromo José Carlos Pace,5,Driver 5,McLaren,10,2,18,23.95176263653529,55.153515465511205,31.823289544986935,81.78166457348976,1
2022,3,Autódromo José Carlos Pace,3,Driver 3,Williams,9,3,15,23.95176263653529,55.153515465511205,31.823289544986935,84.99778721271663,1
2022,3,Autódromo José Carlos Pace,9,Driver 9,McLaren,11,4,12,23.95176263653529,55.153515465511205,31.823289544986935,61.39912494597464,3
2022,3,Autódromo José Carlos Pace,7,Driver 7,Haas,12,5,10,23.95176263653529,55.153515465511205,31.823289544986935,66.07324006218359,3
2022,3,Autódromo José Carlos Pace,20,Driver 20,Williams,13,6,8,23.95176263653529,55.153515465511205,31.823289544986935,92.95143413547353,1
